EstacaoCodigo,NivelConsistencia,Data,TipoMedicaoChuvas,Maxima,Total,DiaMaxima,NumDiasDeChuva,MaximaStatus,TotalStatus,NumDiasDeChuvaStatus,TotalAnual,TotalAnualStatus,Chuva01,Chuva02,Chuva03,Chuva04,Chuva05,Chuva06,Chuva07,Chuva08,Chuva09,Chuva10,Chuva11,Chuva12,Chuva13,Chuva14,Chuva15,Chuva16,Chuva17,Chuva18,Chuva19,Chuva20,Chuva21,Chuva22,Chuva23,Chuva24,Chuva25,Chuva26,Chuva27,Chuva28,Chuva29,Chuva30,Chuva31,Chuva01Status,Chuva02Status,Chuva03Status,Chuva04Status,Chuva05Status,Chuva06Status,Chuva07Status,Chuva08Status,Chuva09Status,Chuva10Status,Chuva11Status,Chuva12Status,Chuva13Status,Chuva14Status,Chuva15Status,Chuva16Status,Chuva17Status,Chuva18Status,Chuva19Status,Chuva20Status,Chuva21Status,Chuva22Status,Chuva23Status,Chuva24Status,Chuva25Status,Chuva26Status,Chuva27Status,Chuva28Status,Chuva29Status,Chuva30Status,Chuva31Status..................................,
2651023,1,1/9/1977,1,50,102,17,11,1,1,0,1980.800049,1,4.8,0.5,0,0,0,0,0,12.5,0,0,0,0,0,0,0,10.2,50,3.6,11.4,1,0.6,0,0,1.6,0,0,0,0,0,5.8,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,.
2651023,1,1/10/1977,1,42.4,166.3,17,12,1,1,0,1980.800049,1,27.3,15.4,0,0,0,0,0,2.2,0,0,0,10.4,19.7,15.1,0,14,42.4,4.8,0.4,0,0,0,0,0,0,1.6,13,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
2651023,1,1/11/1977,1,47.2,165.6,11,10,1,1,0,1980.800049,1,39,7.1,0,0,0,15,15.1,0,0,2.6,47.2,15.2,0,0,2.4,0,0,0,0,0,0,0,0,10,0,0,0,12,0,0,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,.
2651023,1,1/12/1977,1,50.8,222.2,11,10,1,1,0,1980.800049,1,0,15.1,23.2,49.9,0,0,13.8,19.6,0,0,50.8,0,14,6.6,0,0,0,0,0,0,0,15,14.2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
2651023,1,1/1/1978,1,41.8,141.4,7,11,1,1,0,1410.199951,1,0,5.5,0,0,0,0,41.8,0.8,0,0,0,0,0,11.2,0,0,0,7.2,13.2,7.4,16.8,3.6,0,0,0,0,31.1,2.8,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
2651023,1,1/2/1978,1,23.6,56.6,5,6,1,1,0,1410.199951,1,0,3.2,0,0,23.6,3,0,0,0,0,0,17.2,0,0,0,0,0,0,0,0,8.4,0,0,1.2,0,0,0,0,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,...
2651023,1,1/3/1978,1,69.5,164.5,11,9,1,1,0,1410.199951,1,0,14.8,40.4,0,0,0,7,0,0,0,69.5,11.8,0,0,0,1.6,0,0,0,0,0,0,0,4.6,0,3.4,11.4,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
2651023,1,1/4/1978,1,1,1,20,1,1,1,0,1410.199951,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,.
2651023,1,1/5/1978,1,66.5,81.9,16,4,1,1,0,1410.199951,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.5,3.2,0,0,0,7.2,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
2651023,1,1/6/1978,1,12.7,44.9,21,7,1,1,0,1410.199951,1,0,0,0,0,0,0,0,11.8,0,0,0,0,0,0,0,0,8,9,1.2,1.4,12.7,0.8,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,.
2651023,1,1/7/1978,1,48,196.1,18,9,1,1,0,1410.199951,1,0,0,9.8,0,0,0,0,0,0,0,0,0,0,0,19.8,21.6,0,48,0,26.6,23.6,34.7,1,11,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
2651023,1,1/8/1978,1,22.8,63.2,12,5,1,1,0,1410.199951,1,0,0,0,0,0,0,0,0,0,0,12,22.8,13.8,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,3.6,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
2651023,1,1/9/1978,1,39.5,106.2,15,8,1,1,0,1410.199951,1,0,0,3,36,6.8,0,3,13.4,1.7,0,0,0,0,0,39.5,0,0,0,2.8,0,0,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,.
2651023,1,1/10/1978,1,57,119,19,8,1,1,0,1410.199951,1,0,0,8.6,0,0,0,0,0,0,0,1.9,0,0,36,0,1,0,0,57,0,0,0,0,0,0,0,7.8,0,0,4.5,2.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
2651023,1,1/11/1978,1,48.8,259.3,21,15,1,1,0,1410.199951,1,10,20.4,0,7.2,9.5,0,0,0,0,20.8,18.4,0,0,0,0,16.3,0,0,4.4,20.4,48.8,9,9,1,0,47,17.1,0,0,0,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,.
