EstacaoCodigo,NivelConsistencia,Data,TipoMedicaoChuvas,Maxima,Total,DiaMaxima,NumDiasDeChuva,MaximaStatus,TotalStatus,NumDiasDeChuvaStatus,TotalAnual,TotalAnualStatus,Chuva01,Chuva02,Chuva03,Chuva04,Chuva05,Chuva06,Chuva07,Chuva08,Chuva09,Chuva10,Chuva11,Chuva12,Chuva13,Chuva14,Chuva15,Chuva16,Chuva17,Chuva18,Chuva19,Chuva20,Chuva21,Chuva22,Chuva23,Chuva24,Chuva25,Chuva26,Chuva27,Chuva28,Chuva29,Chuva30,Chuva31,Chuva01Status,Chuva02Status,Chuva03Status,Chuva04Status,Chuva05Status,Chuva06Status,Chuva07Status,Chuva08Status,Chuva09Status,Chuva10Status,Chuva11Status,Chuva12Status,Chuva13Status,Chuva14Status,Chuva15Status,Chuva16Status,Chuva17Status,Chuva18Status,Chuva19Status,Chuva20Status,Chuva21Status,Chuva22Status,Chuva23Status,Chuva24Status,Chuva25Status,Chuva26Status,Chuva27Status,Chuva28Status,Chuva29Status,Chuva30Status,Chuva31Status
2651020,1,1/12/77,1,46.4,185.2,11,12,1,1,0,1804,1,0,21,28.2,37.6,0,3,10.6,15,0,0,46.4,0,0.8,15.8,0,0,0,0,0,0,2.2,3.2,0,1.4,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2651020,1,1/1/78,1,32,111.4,21,10,1,1,0,,0,0,5.2,0,0,0,0,26.2,0,0,0,0,0,0,9.6,0.4,0,0,10.2,8.8,10.8,32,0.8,0,0,0,0,7.4,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2651020,1,1/2/78,1,14,31.2,5,6,1,1,0,,0,0,0,0,4.6,14,3.8,0,0,0,0,0,0.8,0,0,0,0,1.4,0,0,0,0,6.6,0,0,0,0,0,0,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
2651020,1,1/3/78,1,63.4,201.2,11,13,1,1,0,,0,2.6,16.4,39.2,3,0,0.8,1.8,0,0,0,63.4,14,0,0,0,15.2,0,0,0,0,0,0,0,0,14.6,0,18.4,0,11.4,0.4,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2651020,1,1/4/78,1,1.6,1.6,20,1,1,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
2651020,1,1/5/78,1,46.6,60.2,16,4,1,1,0,,0,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.6,2.6,0,0,0,4.4,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2651020,1,1/6/78,1,22.6,46.8,8,6,1,1,0,,0,0,0,0,0,0,0,0,22.6,0,0,0,0,0,0,0,0,0,9,0,0.6,13.6,0.4,0.6,0,0,0,0,0,0,0,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
2651020,1,1/7/78,1,32.4,164.2,18,10,1,1,0,,0,0,0,7.8,0.6,0,0,0,0,0,0,1.6,0,0,0,23.2,12.2,0,32.4,0,20.4,17.8,32.2,0,16,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2651020,1,1/8/78,1,23.2,55.8,12,6,1,1,0,,0,0,0,0,0,0,0,0,0,0,0,2.2,23.2,15.4,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,1.8,2.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2651020,1,1/9/78,1,35.6,100.4,4,8,1,1,0,,0,0,0,1,35.6,6.4,0,0,19.2,2,0,0,0,0,0,30.2,0,0,0,0,4.8,0,0,0,0,0,0,0,0,1.2,0,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
2651020,1,1/10/78,1,57.4,102.2,19,8,1,1,0,,0,0,0,0,0,0,0,0,0,0,0,2.6,0,0,17.8,0,0,0,0,57.4,5,2,0,0,0,0,0,11,0,0,2.6,3.8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2651020,1,1/11/78,1,26.8,205.6,20,,1,1,0,,0,3.2,14.2,,2.6,8.6,0,0,0,0,12.2,23.4,0,0,0,0,17.6,5.4,0,4,26.8,21.4,25.2,8.2,0.6,0,21.6,10.2,0.4,0,0,,1,1,0,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
2651020,1,1/12/78,1,42.8,167.2,26,11,1,1,0,,0,0,0,0,15.6,10.2,16.8,4,0,0,0,0,0,0,0.4,10,0.6,27.6,0,0,0,0,0,20.2,0,19,42.8,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2651020,1,1/1/79,1,9.4,33,27,6,1,1,0,192.459.997.558.594,1,0,9,4.2,6.4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.4,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
